1221;166;100;30-05-2019 16:36:46
1221;187;100;30-05-2019 16:36:46
1221;202;100;30-05-2019 16:36:46
1221;212;100;30-05-2019 16:36:46
1221;213;100;30-05-2019 16:36:46
1221;217;60;30-05-2019 16:36:46
1221;232;80;30-05-2019 16:36:46
1221;233;100;30-05-2019 16:36:46
1221;239;20;30-05-2019 16:36:46
1221;242;40;30-05-2019 16:36:46
1221;246;40;30-05-2019 16:36:46
1221;245;20;30-05-2019 16:36:46
1221;284;40;30-05-2019 16:36:46
1221;300;20;30-05-2019 16:36:46
1221;303;60;30-05-2019 16:36:46
1221;312;80;30-05-2019 16:36:46
1221;286;20;30-05-2019 16:36:46
1221;313;20;30-05-2019 16:36:46
1221;318;40;30-05-2019 16:36:46
1221;322;100;30-05-2019 16:36:46
1221;332;20;30-05-2019 16:36:46
1221;333;20;30-05-2019 16:36:46
1221;334;20;30-05-2019 16:36:46
1221;328;20;30-05-2019 16:36:46
1221;331;60;30-05-2019 16:36:46
1543;166;80;30-05-2019 16:41:47
1543;187;80;30-05-2019 16:41:47
1543;202;100;30-05-2019 16:41:47
1543;212;60;30-05-2019 16:41:47
1543;213;100;30-05-2019 16:41:47
1543;217;40;30-05-2019 16:41:47
1543;232;80;30-05-2019 16:41:47
1543;233;40;30-05-2019 16:41:47
1543;239;20;30-05-2019 16:41:47
1543;242;60;30-05-2019 16:41:47
1543;246;20;30-05-2019 16:41:47
1543;245;20;30-05-2019 16:41:47
1543;284;60;30-05-2019 16:41:47
1543;300;20;30-05-2019 16:41:47
1543;303;80;30-05-2019 16:41:47
1543;312;80;30-05-2019 16:41:47
1543;286;60;30-05-2019 16:41:47
1543;313;20;30-05-2019 16:41:47
1543;318;20;30-05-2019 16:41:47
1543;322;60;30-05-2019 16:41:47
1543;332;60;30-05-2019 16:41:47
1543;333;20;30-05-2019 16:41:47
1543;334;40;30-05-2019 16:41:47
1543;328;40;30-05-2019 16:41:47
1543;331;60;30-05-2019 16:41:47
1158;166;20;30-05-2019 17:41:21
1158;187;20;30-05-2019 17:41:21
1158;202;60;30-05-2019 17:41:21
1158;212;20;30-05-2019 17:41:21
1158;213;20;30-05-2019 17:41:21
1158;217;20;30-05-2019 17:41:21
1158;232;60;30-05-2019 17:41:21
1158;233;20;30-05-2019 17:41:21
1158;239;20;30-05-2019 17:41:21
1158;242;20;30-05-2019 17:41:21
1158;246;20;30-05-2019 17:41:21
1158;245;20;30-05-2019 17:41:21
1158;284;60;30-05-2019 17:41:21
1158;300;20;30-05-2019 17:41:21
1158;303;60;30-05-2019 17:41:21
1158;312;60;30-05-2019 17:41:21
1158;286;20;30-05-2019 17:41:21
1158;313;20;30-05-2019 17:41:21
1158;318;40;30-05-2019 17:41:21
1158;322;20;30-05-2019 17:41:21
1158;332;20;30-05-2019 17:41:21
1158;333;20;30-05-2019 17:41:21
1158;334;20;30-05-2019 17:41:21
1158;328;20;30-05-2019 17:41:21
1158;331;40;30-05-2019 17:41:21
1198;166;60;30-05-2019 17:44:23
1198;187;60;30-05-2019 17:44:23
1198;202;100;30-05-2019 17:44:23
1198;212;80;30-05-2019 17:44:23
1198;213;60;30-05-2019 17:44:23
1198;217;60;30-05-2019 17:44:23
1198;232;60;30-05-2019 17:44:23
1198;233;60;30-05-2019 17:44:23
1198;239;40;30-05-2019 17:44:23
1198;242;40;30-05-2019 17:44:23
